"logFC"	"logCPM"	"PValue"	"FDR"
"ERG25"	-1.67023056866165	10.3297042763106	0	0
"YEH1"	-1.67020302448434	7.36242211395121	0	0
"ELO1"	1.59537113351554	7.74839152070456	0	0
"RIP1"	1.59364749755268	7.48845129723256	0	0
"LYP1"	-1.56394125906314	8.65928871473603	0	0
"DIP5"	1.53754538230162	7.67981282447039	0	0
"FET3"	-1.51853919045448	8.33946171552244	0	0
"BAP2"	-1.49063084060256	7.8016977780935	0	0
"ERG11"	-1.48761592959231	10.7698679023604	0	0
"CWP1"	1.45099196268404	10.5487247419038	0	0
"BDH1"	1.36677784648204	8.18861814794783	0	0
"ADH2"	-1.33168460753147	9.31330587505689	0	0
"FTR1"	-1.32821462712527	8.84094643848765	0	0
"EBP2"	-1.28371228016728	8.1482421239356	0	0
"MUP1"	-1.27162854946934	9.30393711618251	0	0
"PET9"	1.16498637223334	9.79513976959346	0	0
"ALD6"	1.16484542776067	10.5949632412613	0	0
"UTH1"	-1.15902048948318	8.62316397974699	0	0
"PIL1"	1.15492090788688	9.01572266789117	0	0
"NCP1"	-1.14442267689373	8.98163235333911	0	0
"ERG3"	-1.13343740547929	10.0060012834559	0	0
"NDE1"	1.07017725877574	9.38976468111691	0	0
"RTN1"	-1.05650032542435	9.95086611917068	0	0
"NCE102"	0.982864043182959	9.09283099410996	0	0
"URA1"	-0.956893382023512	9.08951862660725	0	0
"DUG1"	0.952200448486196	9.22845054462727	0	0
"PDR5"	-0.928537413769011	9.48375936393697	0	0
"ZRC1"	-0.88786706017416	9.45781009208271	0	0
"PGK1"	0.868805163478402	13.2274495280552	0	0
"RPS17B"	-0.862270599047823	10.3760897618001	0	0
"EFT1"	0.855226140143014	12.1870384923961	0	0
"GPP1"	0.847616330352122	9.79695347076131	0	0
"HXT3"	-0.723451452641035	10.5900814038576	0	0
"PEP4"	1.04229099998578	8.8977652003425	5.92878775009496e-323	3.09779159942462e-321
"GAD1"	4.69251798549576	5.28784237890579	6.77492457516268e-319	3.50694712337159e-317
"SCW10"	0.923777065831802	9.11378300302563	5.86249402173598e-318	3.00730100606056e-316
"KTR4"	2.07662256376123	6.74256921162944	2.64488299538444e-315	1.34463962284441e-313
"MCR1"	1.55455536701531	7.36238338397767	3.25940240101157e-314	1.64239267888127e-312
"CTT1"	4.92261570922408	5.14069626550873	2.97014387877018e-313	1.48350870576476e-311
"COX4"	1.68186013003537	7.28795669239085	1.52171183049213e-312	7.53445840245405e-311
"EHT1"	2.20157797584803	6.38529591602634	7.65036058175176e-309	3.75527182349091e-307
"HIS1"	-0.988081321665398	8.84773926225617	6.09012158103584e-308	2.96385916943744e-306
"DLD1"	1.73976719857862	7.23471057117684	2.38333585242597e-307	1.15006053760283e-305
"ANB1"	-6.53549478427388	4.81886472695246	1.02168363223534e-304	4.88862739659496e-303
"GDH1"	0.790755678667273	9.65144530049334	1.99726174640722e-304	9.47700698670227e-303
"YJR015W"	1.71411249910124	7.04168835398328	8.5063478477659e-303	4.0029045161305e-301
"ENA5"	-3.41266680980483	5.52717831922226	1.33913516983107e-299	6.25002922706405e-298
"YOL153C"	3.95968195117142	5.357988076012	2.31572753042073e-299	1.07201240310696e-297
"MSC7"	-1.13346568844787	8.37078974021252	3.42711094318547e-299	1.57370723471759e-297
"CIT1"	1.65599165783097	7.17302128887011	6.36972294859542e-299	2.90153619754419e-297
"RIB4"	-1.35517573090952	7.8615057283034	1.15480521645042e-295	5.21861976386405e-294
"SED1"	0.662952917398511	10.9593736681377	6.79903944733842e-290	3.04832524512952e-288
"ERG6"	-0.950943356596637	8.86870246017426	8.06140368238629e-289	3.58606504433653e-287
"POR1"	1.12113010079674	8.52737947773339	9.97147227333253e-279	4.40136148250817e-277
"TYW1"	-1.19404040296353	8.09786460465808	3.11043198025687e-278	1.36236920735251e-276
"COR1"	1.18152456206617	7.94711797911213	4.74934028446161e-278	2.06433157097133e-276
"PGM2"	2.70366277451842	5.99105076534855	4.01427607092717e-274	1.73161272332268e-272
"AIM17"	3.47149813410266	5.45040698132688	1.04199422060034e-273	4.46098879105137e-272
"PSA1"	0.664999739387608	10.5912982869219	3.71684392402659e-272	1.57938129129906e-270
"ACO1"	0.847400839434937	9.27687925884229	6.34532354585911e-270	2.67631646445346e-268
"ARO10"	2.62792706445811	6.23949887900271	8.21968573379103e-270	3.4413890123681e-268
"SSC1"	0.722143907942983	9.70619464591689	1.05716757763481e-269	4.3938045160968e-268
"MTC7"	-0.86221774449067	8.86947197847448	4.82883313826319e-269	1.99241854270077e-267
"ACT1"	0.506504412295628	11.7432482171847	2.32179946201571e-267	9.51102599763845e-266
"MNN1"	0.945446639100863	8.70660484718653	1.27940795398105e-265	5.20353492140578e-264
"HSP12"	5.45141612739727	4.8019122218496	6.15866804361735e-263	2.48705360569909e-261
"YFR006W"	1.91777846784969	6.66307625832986	7.30150793528919e-263	2.92780184391103e-261
"VTC1"	-1.16677757493183	8.07209447564568	1.19037714553184e-262	4.73986536129951e-261
"AHP1"	-0.619812633846278	10.396677717875	1.20235996697495e-259	4.7543317027468e-258
"EHD3"	-7.5429438078856	4.45928623591542	1.29619523501002e-258	5.09002459872211e-257
"TIP1"	-4.92400123616448	4.81842781824808	4.22494801845382e-257	1.64772972719699e-255
"ARR1"	-11.0111408506284	4.36054619472009	1.75940814544608e-254	6.81501359195238e-253
"ENA1"	-3.12356512107797	5.48123621918392	1.39012006297962e-253	5.34820516122025e-252
"HIS4"	-1.31838336330676	7.39319837804197	1.43957184388908e-249	5.50128998597612e-248
"YBR012W-B"	-10.9710548774196	4.32042942445068	6.38801084726299e-248	2.42488891762103e-246
"YBL005W-B"	-10.9383714087298	4.28822286506309	6.97343037261936e-245	2.62958361203276e-243
"KRI1"	-1.14180285370167	8.03057338175786	2.27076215841258e-242	8.50639455921133e-241
"VMA1"	0.620297706827103	10.0898373617813	2.62159945092438e-241	9.75646227030289e-240
"TPS3"	1.69904866123486	6.66922449666645	7.3163486071955e-236	2.70514863437475e-234
"SEC53"	0.632753110349075	10.0430902686077	1.182832566977e-232	4.34519266862391e-231
"RPL1A"	-0.579308994279346	10.9511103850766	1.21145581399258e-232	4.42181372107293e-231
"YHM2"	-1.02503185882939	8.19365156482691	1.79862241121443e-229	6.52315669392035e-228
"ERG2"	-0.700357916448236	9.52253796176265	4.73684577056193e-229	1.70706327959365e-227
"TIR1"	-3.47195425739057	5.23500850365425	1.09754188496793e-227	3.93044244843233e-226
"YMR315W"	1.94097884231586	6.32277235915941	1.67435504005896e-227	5.95861099880982e-226
"COS8"	5.90897094213672	4.51832335295569	5.11389605440995e-227	1.80860398346648e-225
"SAM4"	0.997952401102678	8.23377709414654	2.05496986595869e-226	7.22283852886963e-225
"TDH3"	0.482058730018334	15.0070859970004	1.0152364955941e-225	3.54647644534529e-224
"ESF1"	-1.20614183795661	7.72199628137319	1.48612997379786e-225	5.15977077488109e-224
"TPO2"	1.37866169184502	7.29414762401936	9.14985615924266e-223	3.1575321800441e-221
"RPL31B"	-0.696443025731077	9.42314206883837	1.41448362116428e-219	4.85184924030686e-218
"CPR1"	0.600119073477848	10.5547954199739	1.01181337620034e-217	3.44985949945195e-216
"OM14"	3.0944445111468	5.37819813925968	3.3069060042224e-216	1.12080492785966e-214
"RPS12"	-0.466206140837459	12.1986500012025	1.41446389755851e-212	4.76565528562022e-211
"ATO3"	-1.51889332401517	6.84511392100917	2.11045561420051e-211	7.06878486309277e-210
"ILV5"	-0.564965568896253	10.3719966828128	4.02281192428736e-210	1.3395257951399e-208
"COX5A"	1.26411622845884	7.27047165363625	4.27620518615175e-205	1.4156228098807e-203
"SCM4"	-1.49500416603117	6.74224272153548	4.58447292658684e-205	1.50890108924771e-203
"BAT2"	1.57072290113566	6.6973710188519	7.50355680263e-204	2.45547427782616e-202
"RPL14A"	-0.469907538411676	11.3322965199579	8.19797005660727e-204	2.6673852287041e-202
